77.69 28.73
44.35 -85.80 32.17
44.45 -85.86 32.17
44.33 -85.97 32.18
44.22 -85.95 32.18
44.11 -86.05 32.19
43.95 -86.02 32.20
43.90 -86.12 32.21
43.89 -86.15 32.22
43.90 -86.06 32.22
43.62 -86.06 32.23
43.40 -86.10 32.24
43.43 -86.15 32.25
43.39 -86.14 32.25
43.22 -86.22 32.26
43.08 -86.14 32.26
43.04 -86.15 32.27
42.78 -86.27 32.28
42.64 -86.26 32.29
42.40 -86.30 32.29
42.20 -86.30 32.30
42.01 -86.32 32.31
41.76 -86.25 32.31
41.56 -86.38 32.32
41.38 -86.38 32.32
41.14 -86.43 32.33
41.01 -86.38 32.34
40.86 -86.36 32.35
40.69 -86.43 32.36
40.52 -86.42 32.37
40.39 -86.39 32.38
40.27 -86.43 32.39
40.14 -86.50 32.40
39.97 -86.58 32.42
39.81 -86.67 32.43
39.76 -86.66 32.44
39.73 -86.66 32.44
39.67 -86.64 32.45
39.65 -86.73 32.46
39.67 -86.67 32.47
39.63 -86.71 32.48
39.59 -86.76 32.49
39.60 -86.80 32.50
39.52 -86.78 32.50
39.59 -86.77 32.51
39.53 -86.86 32.52
39.51 -86.84 32.53
39.55 -86.75 32.54
39.61 -86.85 32.55
39.68 -86.87 32.55
39.63 -86.98 32.56
39.63 -86.96 32.57
39.70 -86.80 32.58
39.77 -86.91 32.59
39.78 -87.03 32.59
39.87 -86.99 32.60
39.98 -86.92 32.61
40.02 -86.91 32.62
39.98 -86.96 32.63
39.90 -87.09 32.64
39.95 -87.08 32.64
39.88 -87.17 32.65
39.99 -87.10 32.66
40.01 -87.10 32.67
40.09 -87.04 32.69
39.81 -87.19 32.70
39.99 -87.11 32.70
40.14 -87.19 32.71
40.21 -87.22 32.72
40.19 -87.30 32.73
40.17 -87.28 32.74
40.13 -87.13 32.75
40.21 -87.17 32.76
40.37 -87.25 32.77
40.50 -87.35 32.78
40.53 -87.37 32.78
40.71 -87.38 32.79
40.73 -87.44 32.80
40.81 -87.44 32.81
40.77 -87.51 32.82
40.99 -87.54 32.83
40.90 -87.43 32.84
41.17 -87.60 32.84
41.19 -87.57 32.86
41.23 -87.53 32.87
41.25 -87.54 32.88
41.38 -87.54 32.89
41.55 -87.66 32.89
41.76 -87.73 32.90
41.92 -87.60 32.91
41.95 -87.71 32.92
42.11 -87.77 32.93
42.26 -87.75 32.94
42.41 -87.80 32.95
42.39 -87.75 32.96
42.47 -87.79 32.97
42.63 -87.88 32.98
42.72 -87.87 32.99
42.89 -87.93 33.00
42.98 -87.83 33.01
42.98 -87.93 33.01
43.10 -87.92 33.02
43.21 -87.96 33.03
43.26 -87.92 33.04
43.40 -87.92 33.04
43.54 -87.82 33.05
43.65 -88.03 33.05
43.77 -87.92 33.06
43.91 -88.10 33.07
43.92 -88.04 33.07
44.07 -88.08 33.08
44.09 -88.12 33.08
44.10 -88.10 33.09
44.15 -88.02 33.10
44.21 -88.14 33.11
44.22 -87.99 33.12
44.33 -88.06 33.12
44.47 -88.19 33.12
44.49 -88.14 33.12
44.64 -88.15 33.13
44.80 -88.25 33.14
44.85 -88.35 33.15
44.93 -88.40 33.16
44.98 -88.41 33.16
45.04 -88.36 33.16
44.99 -88.37 33.17
45.17 -88.49 33.18
45.21 -88.41 33.19
45.22 -88.47 33.19
45.40 -88.55 33.20
45.53 -88.52 33.21
45.44 -88.59 33.22
45.47 -88.57 33.22
45.55 -88.53 33.23
45.72 -88.44 33.23
45.72 -88.42 33.24
45.78 -88.45 33.24
45.76 -88.57 33.25
45.89 -88.55 33.25
45.83 -88.59 33.25
45.88 -88.56 33.26
45.70 -88.57 33.26
45.86 -88.65 33.27
45.65 -88.64 33.28
45.82 -88.68 33.28
45.64 -88.79 33.29
45.56 -88.80 33.30
45.54 -88.87 33.30
45.59 -88.81 33.31
45.47 -88.85 33.32
45.43 -88.82 33.33
45.57 -88.79 33.33
45.41 -88.89 33.34
45.31 -88.95 33.35
45.11 -88.98 33.35
45.07 -89.04 33.36
44.94 -88.99 33.37
44.96 -89.14 33.38
44.91 -89.13 33.38
44.73 -89.22 33.39
44.72 -89.16 33.40
44.62 -89.14 33.41
44.60 -89.17 33.41
44.59 -89.12 33.42
44.39 -89.26 33.43
44.27 -89.29 33.44
44.25 -89.25 33.44
44.07 -89.35 33.45
44.19 -89.10 33.46
44.19 -89.14 33.46
44.10 -89.33 33.47
44.05 -89.26 33.48
44.11 -89.27 33.49
44.04 -89.26 33.49
43.90 -89.34 33.51
43.80 -89.37 33.51
43.66 -89.43 33.52
43.61 -89.35 33.53
43.52 -89.41 33.54
43.42 -89.44 33.54
43.29 -89.42 33.55
43.28 -89.34 33.56
43.17 -89.41 33.57
43.11 -89.51 33.57
43.12 -89.47 33.58
43.09 -89.45 33.59
43.00 -89.52 33.59
42.85 -89.58 33.60
42.81 -89.65 33.61
42.73 -89.70 33.62
42.73 -89.65 33.63
42.73 -89.66 33.63
42.73 -89.66 33.64
42.71 -89.67 33.65
42.70 -89.60 33.65
42.59 -89.76 33.66
42.67 -89.67 33.67
42.61 -89.73 33.68
42.59 -89.75 33.68
42.59 -89.76 33.69
42.57 -89.77 33.70
42.47 -89.84 33.70
42.48 -89.81 33.71
42.45 -89.75 33.72
42.40 -89.73 33.72
42.27 -89.75 33.73
42.36 -89.82 33.75
42.35 -89.81 33.75
42.25 -89.96 33.76
42.35 -89.93 33.77
42.42 -89.87 33.78
42.40 -89.95 33.79
42.37 -89.98 33.80
42.36 -89.98 33.81
42.38 -90.01 33.81
42.30 -89.96 33.82
42.52 -90.06 33.83
42.57 -90.12 33.84
42.78 -90.00 33.84
42.62 -90.15 33.85
42.87 -90.07 33.86
42.76 -90.04 33.87
42.80 -90.08 33.88
42.97 -90.04 33.88
43.05 -90.07 33.89
43.09 -90.26 33.90
43.15 -90.26 33.91
43.35 -90.33 33.92
43.40 -90.30 33.93
43.61 -90.40 33.94
43.66 -90.43 33.95
43.75 -90.37 33.96
43.89 -90.43 33.96
43.83 -90.45 33.97
43.87 -90.44 33.98
43.91 -90.39 33.98
44.06 -90.51 33.99
44.16 -90.47 34.00
44.28 -90.57 34.01
44.39 -90.61 34.02
44.55 -90.59 34.03
44.60 -90.64 34.04
44.69 -90.62 34.05
44.69 -90.43 34.05
44.75 -90.57 34.06
44.79 -90.50 34.06
44.91 -90.63 34.07
45.01 -90.69 34.08
45.12 -90.74 34.08
45.15 -90.72 34.09
45.24 -90.77 34.10
45.23 -90.78 34.11
45.32 -90.84 34.12
45.44 -90.87 34.13
45.49 -90.89 34.14
45.54 -90.92 34.15
45.72 -90.99 34.16
45.78 -91.00 34.16
45.75 -91.00 34.17
45.73 -90.97 34.17
45.80 -91.04 34.18
45.85 -91.04 34.19
45.92 -91.01 34.19
45.96 -91.03 34.20
45.86 -91.06 34.21
46.23 -90.75 34.22
46.35 -90.61 34.22
46.14 -90.77 34.22
46.10 -90.74 34.22
46.02 -90.92 34.23
45.81 -91.08 34.23
45.74 -91.22 34.24
45.62 -91.27 34.24
45.57 -91.23 34.25
45.52 -91.22 34.27
45.42 -91.25 34.28
45.54 -91.35 34.28
45.50 -91.35 34.29
45.45 -91.37 34.30
45.14 -91.28 34.31
45.11 -91.33 34.32
45.11 -91.44 34.33
45.01 -91.40 34.34
45.20 -91.42 34.35
45.03 -91.42 34.36
44.99 -91.53 34.36
44.90 -91.51 34.37
45.19 -91.27 34.37
45.80 -90.67 34.38
45.60 -90.96 34.39
45.17 -91.17 34.39
44.98 -91.30 34.40
45.00 -91.41 34.41
44.95 -91.44 34.42
